Start Date,End Date,Employer ID,Employer City,Employer State,Number of Slots,Price Paid,Marketplace Value Delivered,Applications,Renewed?
1-Jul-16,31-Jul-16,5506,Irvine,California,50,"$2,982","$1,668",154,1
1-Jul-16,31-Jan-17,14158,Honolulu,Hawaii,200,"$75,180","$85,243","6,515",1
1-Jul-16,31-Jul-16,10279,Mountain View,California,75,"$3,356","$5,784",552,1
1-Jul-16,31-Dec-16,75704,Mankato,Minnesota,25,"$14,320","$14,689",948,1
1-Jul-16,31-Dec-16,12693,Mississauga,Ontario,75,"$17,900","$84,665","5,690",1
30-Jun-16,10-Nov-16,75793,Tupelo,Mississippi,15,"$10,740","$1,055",202,0
30-Jun-16,30-Nov-16,44812,Fayetteville,Arkansas,15,"$2,814","$2,563",500,1
30-Jun-16,29-Oct-16,70143,Orlando,Florida,35,"$8,592","$6,258","1,155",1
29-Jun-16,1-Apr-17,75527,San Diego,Texas,25,"$17,900","$13,258",958,0
29-Jun-16,30-Nov-16,36576,Romford,England,15,"$5,594","$6,652",482,1
28-Jun-16,28-Sep-16,75194,na,na,15,"$10,740","$1,969",233,0
27-Jun-16,29-Oct-16,74858,na,na,35,"$21,480","$3,552",333,0
25-Jun-16,24-Dec-16,38111,Vancouver,British Columbia,75,"$24,165","$24,830","2,996",1
22-Jun-16,10-Nov-16,73870,Houston,Texas,15,"$14,320","$3,325",206,0
17-Jun-16,8-Nov-16,72804,Coimbatore,Tamil Nadu,15,"$10,740","$5,407",314,0
16-Jun-16,15-Jan-17,17132,San Francisco,California,75,"$28,193","$42,347","2,787",0
15-Jun-16,9-Nov-16,8838,San Francisco,California,25,"$6,876","$4,568",459,1
10-Jun-16,9-Dec-16,71419,Bryant,Arkansas,100,"$32,220","$12,406","3,508",0
2-Jun-16,21-Jul-16,69971,Erie,Colorado,15,"$10,740",$828,47,0
1-Jun-16,30-Nov-16,47076,Green Hills,Tennessee,75,"$33,563","$27,784","2,550",0
26-May-16,20-Sep-16,68839,San Francisco,California,15,"$11,635",$532,48,0
26-May-16,27-Oct-16,20013,na,na,25,"$3,107","$1,754",282,0
26-May-16,10-Apr-17,68931,na,na,50,"$26,850","$21,317","1,388",0
26-May-16,31-Dec-16,872,na,na,200,"$75,532","$69,989","6,581",1
25-May-16,31-Oct-16,57303,Minneapolis,Minnesota,75,"$15,628","$9,722","1,556",0
24-May-16,23-Nov-16,36200,Snowmass Village,Colorado,50,"$21,480","$27,681","1,952",1
23-May-16,27-Aug-16,63255,London,England,50,"$26,850",$198,27,0
20-May-16,25-Dec-16,42110,Tempe,Arizona,50,"$24,419","$12,962",889,1
19-May-16,18-Nov-16,67700,Bremerton,Washington State,35,"$14,320","$15,958","1,469",0
10-May-16,9-Nov-16,55009,Longmont,Colorado,125,"$43,318","$29,417","3,708",1
9-May-16,12-Oct-16,65189,Federal Way,Washington State,15,"$10,740",$899,111,0
5-May-16,4-Nov-16,64774,na,na,15,"$14,320",$831,108,0
4-May-16,10-Feb-17,64535,Chandler,Arizona,35,"$21,480","$37,840","1,984",0
2-May-16,1-Nov-16,153,Philadelphia,Pennsylvania,35,"$13,425","$4,561",482,0
1-May-16,31-Oct-16,5167,Cleburne,Texas,50,"$16,110","$3,423",260,0
1-May-16,31-Jan-17,16766,Chicago,Illinois,25,"$14,768","$9,743","1,195",0
1-May-16,31-Jul-16,509,Richmond,Virginia,25,"$8,055","$3,690",344,0
29-Apr-16,28-Dec-16,34732,Dayton,Pennsylvania,35,"$15,251","$14,268","1,770",1
29-Apr-16,28-Dec-16,34732,New Orleans,Louisiana,15,"$8,592","$7,632",597,1
26-Apr-16,19-Aug-16,63053,Madison,Wisconsin,15,"$14,320","$5,089",548,0
25-Apr-16,24-Oct-16,62509,Knoxville,Tennessee,75,"$24,165","$13,460","1,602",1
25-Apr-16,23-Aug-16,62440,Melbourne,Victoria,25,"$17,900","$3,136",400,0
19-Apr-16,19-Oct-16,61736,Bensalem,Pennsylvania,15,"$10,740","$1,327",215,0
19-Apr-16,16-Jul-16,61852,New York,New York State,15,"$10,740","$1,267",141,0
18-Apr-16,17-Apr-17,61589,Binger,Oklahoma,15,"$14,320","$1,923",389,1
18-Apr-16,17-Apr-17,61590,Orlando,Florida,15,"$21,480","$9,216",494,0
18-Apr-16,17-Apr-17,5317,Boulder,Colorado,20,"$14,320","$12,526","1,196",0
18-Apr-16,17-Apr-17,15842,Pittsburgh,Pennsylvania,20,"$17,900","$14,930","1,586",0
18-Apr-16,17-Apr-17,61568,Norristown,Pennsylvania,25,"$16,110","$19,966","1,552",1
17-Apr-16,16-Apr-17,14261,Dallas,Texas,50,"$44,392","$22,737","1,481",1
16-Apr-16,15-Apr-17,3146,Morrisville,North Carolina,50,"$26,850","$15,024","2,191",1
16-Apr-16,15-Apr-17,15502,Peace River,Alberta,15,"$10,740","$9,275",518,1
15-Apr-16,26-Jan-17,61287,Orlando,Florida,15,"$10,740","$2,973",544,0
15-Apr-16,14-Apr-17,58756,Bellevue,Washington State,20,"$13,425","$6,935",738,1
15-Apr-16,14-Apr-17,61283,na,na,15,"$14,320","$9,166",905,1
15-Apr-16,14-Apr-17,61303,Cambridge,Minnesota,15,"$11,635","$10,910","1,124",1
15-Apr-16,27-Dec-16,46834,Altoona,Pennsylvania,20,"$7,884","$22,892","1,456",1
14-Apr-16,13-Apr-17,61288,Maitland,Florida,20,"$15,215","$3,763",415,0
14-Apr-16,13-Apr-17,15704,Seattle,Washington State,25,"$16,110","$4,726","1,385",1
14-Apr-16,9-Jan-17,51527,Hermitage,Tennessee,25,"$13,425","$7,089",985,0
14-Apr-16,13-Apr-17,59417,Mill Valley,California,25,"$16,110","$10,961","1,281",0
14-Apr-16,13-Apr-17,61296,Garden City,Kansas,15,"$11,635","$9,698","1,409",1
14-Apr-16,13-Apr-17,61148,Charlotte,North Carolina,20,"$13,425","$21,251","1,897",1
13-Apr-16,12-Apr-17,61152,Mesquite,Nevada,75,"$40,275","$20,782","1,953",1
12-Apr-16,11-Apr-17,60997,Baar,Zug,20,"$14,320","$3,225",384,0
12-Apr-16,11-Apr-17,60817,Las Vegas,Nevada,15,"$11,635","$3,337",341,0
12-Apr-16,11-Apr-17,60843,San Diego,California,25,"$21,480","$10,059","1,578",1
12-Apr-16,11-Apr-17,60827,Escondido,California,50,"$26,850","$31,210","3,311",0
12-Apr-16,11-Apr-17,5119,Pittsburgh,Pennsylvania,25,"$19,479","$29,234","1,862",1
11-Apr-16,10-Apr-17,14266,na,na,25,"$19,690","$6,313",734,0
11-Apr-16,10-Apr-17,15821,Bucharest,Bucuresti,25,"$17,900","$6,495","1,643",1
11-Apr-16,10-Apr-17,59124,na,na,20,"$19,690","$5,695",718,1
11-Apr-16,10-Apr-17,60652,Madison,Wisconsin,15,"$12,530","$4,715",466,1
11-Apr-16,10-Apr-17,17001,Indianapolis,Indiana,50,"$26,850","$17,620","2,368",1
11-Apr-16,10-Apr-17,60785,New York,New York State,35,"$25,060","$13,319","1,508",1
11-Apr-16,10-Apr-17,60627,na,na,15,"$14,320","$8,879",932,0
11-Apr-16,31-Jan-17,14169,Nashua,New Hampshire,35,"$19,568","$17,623","1,669",0
11-Apr-16,10-Apr-17,60655,San Rafael,California,15,"$13,425","$9,490","1,056",1
10-Apr-16,9-Apr-17,33157,Venlo,Limburg,25,"$23,270",$52,3,0
10-Apr-16,9-Apr-17,15612,Chicago,Illinois,20,"$14,768","$3,169",324,0
10-Apr-16,9-Apr-17,5193,Los Angeles,California,20,"$15,215","$15,866","1,002",0
9-Apr-16,8-Apr-17,33041,Northridge,California,25,"$27,745","$6,588",778,1
9-Apr-16,8-Apr-17,33046,na,na,35,"$23,270","$11,390","1,899",1
8-Apr-16,7-Apr-17,14912,Guelph,Ontario,25,"$17,542","$3,171",485,0
8-Apr-16,7-Apr-17,60383,New York,New York State,15,"$12,530","$2,542",182,0
8-Apr-16,7-Apr-17,60384,Lakewood,New Jersey,15,"$16,110","$5,305",734,0
8-Apr-16,7-Apr-17,60393,Danvers,Massachusetts,15,"$10,740","$5,374",650,1
8-Apr-16,7-Apr-17,60385,na,na,35,"$21,480","$15,568","1,197",1
8-Apr-16,7-Apr-17,5023,Miamisburg,Ohio,25,"$19,690","$11,510","1,976",1
7-Apr-16,6-Apr-17,33016,New Orleans,Louisiana,25,"$26,850",$951,196,0
7-Apr-16,6-Apr-17,60261,na,na,35,"$21,480","$12,540","2,166",0
7-Apr-16,6-Apr-17,33033,Albany,New York State,50,"$28,640","$17,950","2,271",0
7-Apr-16,6-Apr-17,60262,New York,New York State,25,"$16,110","$13,710","1,143",0
7-Apr-16,6-Apr-17,15457,Panama City,Florida,50,"$48,330","$30,112","2,948",0
7-Apr-16,14-Nov-16,9521,Omaha,Nebraska,15,"$4,974","$8,359",560,1
6-Apr-16,5-Apr-17,32915,Portland,Oregon,15,"$14,320","$4,975",525,0
6-Apr-16,5-Apr-17,60058,Saint-Laurent,Quebec,15,"$10,740","$5,136",674,1
6-Apr-16,5-Apr-17,60082,Scottsdale,Arizona,15,"$10,740","$6,009",555,0
6-Apr-16,5-Apr-17,33015,Provo,Utah,35,"$21,480","$16,241","1,802",1
6-Apr-16,5-Apr-17,60057,Naples,Florida,15,"$12,530","$8,016","1,056",0
6-Apr-16,5-Apr-17,60087,Detroit,Michigan,15,"$11,635","$18,206","1,374",1
5-Apr-16,4-Apr-17,60086,London,England,15,"$10,740","$3,568",450,0
5-Apr-16,4-Apr-17,59898,Wesley Chapel,Florida,15,"$13,425","$4,977",651,1
5-Apr-16,4-Apr-17,59896,na,na,15,"$10,740","$6,877","1,024",0
5-Apr-16,4-Apr-17,59890,Tampa,Florida,20,"$26,850","$9,175","1,233",1
5-Apr-16,4-Apr-17,59891,Tampa,Florida,15,"$10,740","$8,390","1,012",1
5-Apr-16,6-Aug-16,59973,na,na,15,"$14,320","$3,163",312,0
5-Apr-16,4-Apr-17,59899,Whitestown,Indiana,20,"$17,900","$15,521","1,718",0
4-Apr-16,3-Apr-17,59721,Joplin,Missouri,15,"$10,740","$3,060",358,0
4-Apr-16,3-Apr-17,59709,Morgan Hill,California,15,"$10,740","$6,849",636,0
4-Apr-16,3-Apr-17,59708,Tampa,Florida,50,"$26,850","$28,236","2,175",0
4-Apr-16,3-Apr-17,60038,Austin,Texas,15,"$10,740","$9,818","1,020",0
4-Apr-16,3-Apr-17,934,Newbury Park,California,15,"$14,320","$12,146",952,0
3-Apr-16,2-Apr-17,245,New York,New York State,25,"$24,165","$17,340","1,081",0
3-Apr-16,2-Apr-17,15288,Rochester,New York State,15,"$17,900","$22,305","1,844",1
2-Apr-16,1-Apr-17,15188,Atlanta,Georgia,75,"$48,330","$25,384","3,182",1
2-Apr-16,1-Apr-17,32749,Singapore,0,25,"$22,375","$12,654","1,058",1
2-Apr-16,1-Apr-17,8063,Valley Stream,New York State,75,"$50,120","$54,393","4,739",1
1-Apr-16,31-Dec-16,15236,New York,New York State,50,"$17,900","$4,295","1,424",1
1-Apr-16,7-Sep-16,28396,na,na,15,"$2,663",$885,106,0
1-Apr-16,28-Sep-16,39995,na,na,25,"$5,884","$1,337",154,0
1-Apr-16,31-Mar-17,24834,Farmingdale,New York State,35,"$20,138","$5,824","1,718",1
1-Apr-16,1-Aug-16,36863,Navarre,Florida,25,"$2,306","$1,427",113,1
1-Apr-16,31-Mar-17,59711,New Haven,Connecticut,15,"$10,740","$3,564",338,0
1-Apr-16,31-Mar-17,15115,Boston,Massachusetts,15,"$12,530","$4,185",275,1
1-Apr-16,31-Mar-17,867,Nantucket,Massachusetts,25,"$16,110","$7,116","1,367",1
1-Apr-16,31-Mar-17,30885,Hooksett,New Hampshire,50,"$31,325","$15,353","1,946",0
1-Apr-16,31-Mar-17,10073,Corona,California,200,"$125,300","$62,153","10,563",0
1-Apr-16,31-Mar-17,11477,Saint Charles,Missouri,35,"$21,480","$12,316","1,008",0
1-Apr-16,31-Mar-17,28376,Tel Aviv-Yafo,Tel Aviv,50,"$26,850","$20,048","2,628",1
1-Apr-16,31-Mar-17,3035,Raleigh,North Carolina,100,"$58,175","$62,586","5,443",1
1-Apr-16,31-Mar-17,7062,Brooklyn,New York State,25,"$16,110","$11,619",837,1
1-Apr-16,31-Mar-17,58598,Tempe,Arizona,15,"$10,740","$1,849",223,0
1-Apr-16,31-Jan-17,14169,na,na,35,"$20,227",$638,54,0
1-Apr-16,31-Mar-17,14222,na,na,15,"$14,320","$7,270",671,0
1-Apr-16,31-Mar-17,14918,Birmingham,Alabama,35,"$27,745","$20,053","1,881",0
1-Apr-16,31-Mar-17,13989,Menlo Park,California,25,"$17,900","$14,430","1,071",1
1-Apr-16,31-Mar-17,32684,Spartanburg,South Carolina,50,"$33,294","$32,520","2,944",1
1-Apr-16,31-Mar-17,59505,Austin,Texas,15,"$11,635","$14,981","1,008",1
1-Apr-16,31-Mar-17,15477,Baton Rouge,Louisiana,75,"$40,275","$84,609","5,688",0
1-Apr-16,31-Mar-17,30605,Pittsburgh,Pennsylvania,25,"$26,850","$28,274","1,821",1
1-Apr-16,30-Apr-16,509,Simpsonville,South Carolina,25,"$2,685","$2,376",224,1
1-Apr-16,31-Mar-17,8706,Salinas,California,25,"$17,900","$34,392","2,871",1
31-Mar-16,30-Mar-17,31367,Leawood,Kansas,25,"$16,110",$6,1,0
31-Mar-16,30-Mar-17,59355,San Francisco,California,15,"$10,740",$247,30,0
31-Mar-16,30-Mar-17,59339,Chicago,Illinois,15,"$12,083",$423,39,0
31-Mar-16,30-Mar-17,59407,London,England,50,"$26,850",$703,87,0
31-Mar-16,30-Mar-17,31367,Centerville,Ohio,20,"$13,425","$1,774",240,0
31-Mar-16,30-Mar-17,59408,Nutley,New Jersey,15,"$10,740",$960,51,0
31-Mar-16,30-Mar-17,29920,Orlando,Florida,15,"$10,740","$1,609",191,0
31-Mar-16,30-Mar-17,59387,na,na,15,"$10,740","$1,969",216,1
31-Mar-16,30-Jun-16,59409,Irving,Texas,15,"$11,635",$548,48,0
31-Mar-16,30-Mar-17,59382,na,na,15,"$10,740","$2,495",347,0
31-Mar-16,30-Mar-17,59395,Los Angeles,California,15,"$14,320","$2,748",251,1
31-Mar-16,30-Mar-17,59463,Mason,Ohio,15,"$10,740","$3,490",340,0
31-Mar-16,30-Mar-17,32625,New Orleans,Louisiana,25,"$21,480","$5,973","1,240",1
31-Mar-16,30-Mar-17,59392,Bengaluru,Karnataka,25,"$44,750","$6,665","1,246",0
31-Mar-16,30-Mar-17,59403,na,na,15,"$10,740","$4,855",347,1
31-Mar-16,30-Mar-17,59398,na,na,15,"$14,320","$4,908",466,0
31-Mar-16,30-Mar-17,59354,London,England,15,"$12,530","$5,302",779,1
31-Mar-16,30-Mar-17,59385,Durand,Wisconsin,25,"$16,110","$10,300","1,622",1
31-Mar-16,30-Mar-17,59425,na,na,15,"$14,320","$6,221",615,0
31-Mar-16,30-Mar-17,59383,na,na,15,"$10,740","$6,329",747,1
31-Mar-16,30-Mar-17,5205,na,na,75,"$57,280","$33,845","4,561",1
31-Mar-16,30-Mar-17,59402,Milwaukee,Wisconsin,15,"$12,530","$7,297",731,1
31-Mar-16,30-Mar-17,59423,Dublin,Co. Dublin,25,"$16,110","$14,073","1,572",1
31-Mar-16,30-Mar-17,59401,Los Angeles,California,15,"$10,740","$8,515","1,269",1
31-Mar-16,30-Mar-17,59394,Carlsbad,California,15,"$10,740","$8,959",928,1
31-Mar-16,30-Mar-17,32607,Sarasota,Florida,20,"$16,110","$12,108",723,1
31-Mar-16,30-Mar-17,59390,Toronto,Ontario,15,"$12,530","$9,117",752,0
31-Mar-16,30-Mar-17,131,Tulsa,Oklahoma,25,"$17,900","$17,498","1,856",0
31-Mar-16,30-Mar-17,59349,Salt Lake City,Utah,15,"$10,740","$10,783","1,164",1
31-Mar-16,30-Mar-17,28895,Appleton,Wisconsin,50,"$35,800","$36,589","3,552",1
31-Mar-16,30-Mar-17,59415,na,na,15,"$16,110","$11,216","1,203",1
31-Mar-16,30-Mar-17,59391,Glenview,Illinois,20,"$16,110","$16,919","1,803",0
31-Mar-16,30-Mar-17,59356,Ozark,Missouri,15,"$28,640","$13,086",685,1
31-Mar-16,30-Mar-17,32600,Indianapolis,Indiana,20,"$13,425","$20,537","1,349",0
31-Mar-16,30-Mar-17,32626,na,na,15,"$16,110","$13,734","1,057",0
31-Mar-16,30-Mar-17,59413,Brampton,Ontario,15,"$10,740","$13,796",783,0
31-Mar-16,30-Mar-17,5882,Miami,Florida,25,"$16,110","$24,878","2,265",1
31-Mar-16,30-Mar-17,32608,Sparks,Nevada,25,"$21,480","$26,997","2,635",1
31-Mar-16,30-Mar-17,371,na,na,50,"$40,275","$57,525","3,581",1
31-Mar-16,30-Sep-16,31692,Austin,Texas,35,"$14,320","$42,795","2,558",1
31-Mar-16,30-Mar-17,32555,Yavne,Central,15,"$12,530","$37,498","1,920",0
31-Mar-16,19-Feb-17,59419,na,na,15,"$10,740","$35,467","3,034",0
30-Mar-16,29-Dec-16,44635,Riverside,California,50,"$24,165","$3,079",937,1
30-Mar-16,29-Mar-17,59235,Oakland,California,15,"$10,740","$1,568",144,1
30-Mar-16,29-Mar-17,59314,na,na,50,"$28,640","$5,403",314,1
30-Mar-16,29-Mar-17,59242,West Palm Beach,Florida,15,"$10,740","$2,017",119,0
30-Mar-16,29-Mar-17,32508,Mejatto,Kwajalein Atoll,15,"$20,585","$2,735",591,0
30-Mar-16,29-Mar-17,51502,Nashville,Tennessee,50,"$40,275","$11,585","1,868",1
30-Mar-16,29-Mar-17,59247,London,England,15,"$10,740","$3,673",599,1
30-Mar-16,29-Mar-17,59244,0,0,15,"$12,530","$4,195",418,1
30-Mar-16,29-Dec-16,44726,San Diego,California,50,"$24,165","$11,212","1,002",1
30-Mar-16,28-Jul-16,59240,Oakland,California,15,"$15,215","$1,775",130,0
30-Mar-16,29-Mar-17,32542,Wyandotte,Michigan,25,"$17,184","$9,405",809,1
30-Mar-16,29-Mar-17,59255,Jacksonville,Florida,15,"$10,740","$5,904",945,1
30-Mar-16,29-Sep-16,59253,Carson,California,35,"$16,110","$7,222",988,1
30-Mar-16,29-Mar-17,59254,Las Vegas,Nevada,15,"$10,740","$6,281",564,0
30-Mar-16,29-Mar-17,32520,Port Coquitlam,British Columbia,25,"$17,184","$11,220","1,103",1
30-Mar-16,29-Mar-17,59246,Liverpool,England,25,"$17,900","$12,260","1,027",0
30-Mar-16,29-Mar-17,32526,San Jose,California,15,"$13,962","$12,823",889,1
30-Mar-16,29-Mar-17,174,Tempe,Arizona,15,"$10,740","$13,976","1,081",1
30-Mar-16,29-Mar-17,32552,Berlin,Berlin,25,"$21,480","$29,107","2,440",1
29-Mar-16,28-Mar-17,8367,Austin,Texas,15,"$14,768","$1,192",130,0
29-Mar-16,28-Mar-17,59107,Norfolk,Virginia,35,"$21,480","$1,039",180,1
29-Mar-16,28-Dec-16,44648,na,na,25,"$21,480","$5,428",435,1
29-Mar-16,28-Mar-17,59115,Phoenix,Arizona,15,"$11,635","$4,423",445,1
29-Mar-16,28-Mar-17,59108,Deerfield Beach,Florida,20,"$17,900","$5,999",402,1
29-Mar-16,28-Mar-17,24785,na,na,25,"$17,005","$10,172","1,368",1
29-Mar-16,28-Mar-17,8650,Madison,Wisconsin,35,"$21,480","$17,230","2,312",0
29-Mar-16,28-Mar-17,59112,Birmingham,Alabama,15,"$12,530","$7,433","1,296",1
29-Mar-16,28-Mar-17,59243,Washington,District of Columbia,15,"$11,635","$7,503",733,1
29-Mar-16,28-Mar-17,59110,Fort Lauderdale,Florida,25,"$16,110","$14,258","1,535",1
29-Mar-16,28-Mar-17,8954,Philadelphia,Pennsylvania,75,"$40,275","$44,296","4,259",1
29-Mar-16,28-Mar-17,59111,Wakefield,Massachusetts,15,"$14,320","$11,142",809,0
29-Mar-16,28-Mar-17,59104,New York,New York State,20,"$17,900","$17,116","1,496",1
29-Mar-16,28-Mar-17,59116,Bristow,Virginia,15,"$14,320","$13,193",840,1
28-Mar-16,27-Mar-17,59064,na,na,15,"$17,900",$206,18,0
28-Mar-16,27-Mar-17,59016,Sydney,New South Wales,15,"$14,320","$1,843",239,1
28-Mar-16,27-Mar-17,59015,na,na,35,"$21,480","$12,085","1,534",1
28-Mar-16,27-Mar-17,56471,Greensburg,Pennsylvania,35,"$21,480","$17,511","1,388",1
28-Mar-16,27-Mar-17,58973,Berlin,Berlin,35,"$21,480","$17,758","1,917",1
28-Mar-16,27-Mar-17,58974,na,na,25,"$25,060","$24,951","1,481",0
28-Mar-16,11-Feb-17,55053,London,England,15,"$15,699","$17,856","1,373",1
27-Mar-16,26-Mar-17,32464,na,na,25,"$17,900",$2,0,0
27-Mar-16,26-Mar-17,32475,Edmonton,Alberta,20,"$13,425","$1,839",160,0
27-Mar-16,26-Mar-17,32458,Nashville,Tennessee,15,"$14,320","$10,259",661,1
27-Mar-16,26-Mar-17,32470,McCleary,Washington State,25,"$21,480","$18,813","2,142",1
26-Mar-16,25-Mar-17,32432,San Antonio,Texas,35,"$23,270","$4,769",721,1
26-Mar-16,25-Mar-17,11898,Houston,Texas,35,"$22,375","$12,303","1,670",1
26-Mar-16,25-Mar-17,58959,Bloomington,Minnesota,15,"$14,320","$8,482",801,0
26-Mar-16,25-Mar-17,32452,Nashville,Tennessee,50,"$34,905","$40,224","2,327",1
25-Mar-16,24-Mar-17,32421,na,na,25,"$16,110","$8,054",866,0
25-Mar-16,24-Mar-17,58834,na,na,15,"$10,740","$5,323",559,0
25-Mar-16,24-Mar-17,58835,North Brunswick,New Jersey,15,"$10,740","$6,666",967,1
25-Mar-16,24-Mar-17,32422,Duluth,Georgia,25,"$17,900","$15,012","1,986",1
25-Mar-16,24-Mar-17,58954,na,na,15,"$17,900","$9,520",910,0
25-Mar-16,24-Mar-17,32291,Denver,Colorado,35,"$21,480","$28,722","1,836",0
24-Mar-16,23-Mar-17,58792,Fort Pierce,Florida,15,"$14,320",$9,1,1
24-Mar-16,23-Mar-17,58766,Saint Louis,Missouri,15,"$12,530","$1,873",293,1
